date,actual_close,lstm_pred,gru_pred
2012-12-12,69.639,70.630264,72.07707
2012-12-13,68.436,70.27184,71.83994
2012-12-14,65.862,69.8709,71.479355
2012-12-17,67.032,69.328224,70.818726
2012-12-18,68.978,68.81127,70.464264
2012-12-19,68.001,68.42495,70.41977
2012-12-20,67.407,68.077324,70.25601
2012-12-21,67.098,67.75961,70.05161
2012-12-24,67.204,67.459755,69.81021
2012-12-26,66.278,67.20084,69.62161
2012-12-27,66.547,67.02224,69.56834
2012-12-28,65.839,66.8503,69.35256
2012-12-31,68.754,66.69371,69.12941
2013-01-02,70.935,66.67383,69.20414
2013-01-03,70.039,66.75451,69.328156
2013-01-04,68.088,66.849,69.303246
2013-01-07,67.689,66.89693,69.10952
2013-01-08,67.871,66.955284,69.007965
2013-01-09,66.808,66.97949,68.820885
2013-01-10,67.636,66.876396,68.382805
2013-01-11,67.222,66.77516,68.190956
2013-01-14,64.827,66.67696,68.05707
2013-01-15,62.781,66.496376,67.70416
2013-01-16,65.383,66.20761,67.19078
2013-01-17,64.945,65.98986,67.058495
2013-01-18,64.601,65.79547,66.911766
2013-01-22,65.216,65.62076,66.75848
2013-01-23,66.411,65.40841,66.4825
2013-01-24,58.204,65.1762,66.25339
2013-01-25,56.834,64.75701,65.578995
2013-01-28,58.119995,64.239204,64.90736
2013-01-29,59.208,63.741127,64.462524
2013-01-30,59.021996,63.30693,64.17537
2013-01-31,58.846004,62.92884,63.920742
2013-02-01,58.606995,62.56471,63.587765
2013-02-04,57.148,62.21737,63.252834
2013-02-05,59.151005,61.87962,62.897175
2013-02-06,59.09,61.654068,62.792423
2013-02-07,60.845,61.41384,62.48226
2013-02-08,61.725,61.249275,62.373745
2013-02-11,62.369,61.162872,62.367435
2013-02-12,60.804,61.12224,62.35085
2013-02-13,60.689,61.028564,62.11495
2013-02-14,60.634,61.09187,62.316364
2013-02-15,59.798004,61.25854,62.497555
2013-02-19,59.776005,61.36236,62.27615
2013-02-20,58.329,61.375366,61.895428
2013-02-21,57.966003,61.266644,61.39452
2013-02-22,58.584,61.08174,60.95142
2013-02-25,57.541,60.886898,60.709347
2013-02-26,58.346,60.69971,60.522575
2013-02-27,57.772003,60.483513,60.26547
2013-02-28,57.36,60.240803,60.000835
2013-03-01,55.942,59.887684,59.550735
2013-03-04,54.585003,59.399456,58.97943
2013-03-05,56.027,58.799507,58.39078
2013-03-06,55.314,58.333504,58.317604
2013-03-07,55.954,57.937023,58.227207
2013-03-08,56.103,57.64406,58.204487
2013-03-11,56.9,57.445065,58.1986
2013-03-12,55.676,57.346165,58.24418
2013-03-13,55.666,57.282516,58.175594
2013-03-14,56.205997,57.235886,58.04994
2013-03-15,57.657005,57.1841,57.892826
2013-03-18,59.221,57.238266,57.995304
2013-03-19,59.06,57.376625,58.156338
2013-03-20,58.75,57.546776,58.267532
2013-03-21,58.833,57.70968,58.299812
2013-03-22,60.027,57.91224,58.430428
2013-03-25,60.243,58.155113,58.758278
2013-03-26,59.926,58.382885,58.896343
2013-03-27,58.75,58.517765,58.985573
2013-03-28,57.523003,58.5785,58.756
2013-04-01,55.74,58.54417,58.406174
2013-04-02,55.851997,58.389027,57.893333
2013-04-03,56.138,58.20491,57.60339
2013-04-04,55.582,58.02695,57.44323
2013-04-05,54.995,57.83547,57.217903
2013-04-08,55.389,57.59379,56.826294
2013-04-09,55.488,57.284397,56.402378
2013-04-10,56.621002,56.936405,56.195858
2013-04-11,56.442,56.66295,56.346
2013-04-12,55.854,56.469547,56.45717
2013-04-15,54.56,56.227093,56.281033
2013-04-16,55.391994,55.924572,55.994682
2013-04-17,52.346,55.690727,55.958336
2013-04-18,50.946,55.42677,55.732285
2013-04-19,50.749,55.13621,55.40789
2013-04-22,51.81,54.865974,55.13024
